dataset_id,movie_name,trial_idx,n_trials_total,start_sample,end_sample,duration_samples,duration_s,acq_rate
2024.03.14-14.06.50-Rec,freq_step_5st_3x,1,3,2757011,3254948,497937,24.89685,20000.0
2024.03.14-14.06.50-Rec,freq_step_5st_3x,2,3,3254948,3753080,498132,24.9066,20000.0
2024.03.14-14.06.50-Rec,green_blue_3s_3i_3x,0,3,1371743,1610911,239168,11.9584,20000.0
2024.03.14-14.06.50-Rec,green_blue_3s_3i_3x,1,3,1610911,1850015,239104,11.9552,20000.0
2024.03.14-14.06.50-Rec,green_blue_3s_3i_3x,2,3,1850015,2089330,239315,11.96575,20000.0
2024.03.14-14.06.50-Rec,iprgc_test,0,2,18820713,21220713,2400000,120.0,20000.0
2024.03.14-14.06.50-Rec,iprgc_test,1,2,21245629,23645629,2400000,120.0,20000.0
2024.03.14-14.06.50-Rec,moving_h_bar_s5_d8_3x,0,3,3995159,5496549,1501390,75.0695,20000.0
2024.03.14-14.06.50-Rec,moving_h_bar_s5_d8_3x,1,3,5496549,6996953,1500404,75.0202,20000.0
2024.03.14-14.06.50-Rec,moving_h_bar_s5_d8_3x,2,3,6996953,8497523,1500570,75.0285,20000.0
2024.03.14-14.06.50-Rec,perfect_dense_noise_15x15_15hz_r42_3min,0,1,8620347,12206695,3586348,179.3174,20000.0
2024.03.14-14.06.50-Rec,step_up_5s_5i_b0_30x,0,30,12425960,12625015,199055,9.95275,20000.0
2024.03.14-14.06.50-Rec,step_up_5s_5i_b0_30x,1,30,12625015,12824023,199008,9.9504,20000.0
2024.03.14-14.06.50-Rec,step_up_5s_5i_b0_30x,2,30,12824023,13023422,199399,9.96995,20000.0
2024.03.14-14.06.50-Rec,step_up_5s_5i_b0_30x,3,30,13023422,13222961,199539,9.97695,20000.0
2024.03.14-14.06.50-Rec,step_up_5s_5i_b0_30x,4,30,13222961,13422227,199266,9.9633,20000.0
2024.03.14-14.06.50-Rec,step_up_5s_5i_b0_30x,5,30,13422227,13621532,199305,9.96525,20000.0
