dataset_id,movie_name,trial_idx,n_frames,trial_duration_s,frame_rate_hz,trial_start,trial_end
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,14,600,9.90705,60.562932457189575,15135241,15333382
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,15,600,9.9221,60.47106963243668,15333382,15531824
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,16,600,9.91715,60.50125288011173,15531824,15730167
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,17,600,9.908,60.557125555106985,15730167,15928327
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,18,600,9.92085,60.47868882202634,15928327,16126744
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,19,600,9.91795,60.4963727383179,16126744,16325103
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,20,600,9.91445,60.51772917307566,16325103,16523392
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,21,600,9.91545,60.51162579610608,16523392,16721701
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,22,600,9.9104,60.54246044559251,16721701,16919909
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,23,600,9.9145,60.51742397498613,16919909,17118199
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,24,600,9.9118,60.53390907806857,17118199,17316435
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,25,600,9.91095,60.53910069165923,17316435,17514654
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,26,600,9.8972,60.6232065634725,17514654,17712598
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,27,600,9.90845,60.554375305925745,17712598,17910767
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,28,600,9.92275,60.46710841248645,17910767,18109222
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,29,600,9.89265,60.65108944519416,18109222,18307075
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_3x,0,600,9.91025,60.5433768068414,565570,763775
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_3x,1,600,9.9133,60.52474957884862,763775,962041
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_3x,2,600,9.92045,60.48112736821414,962041,1160450
2024.02.26-12.23.03-Rec,baseline_127,0,180,2.98735,60.25407133412556,269181,328928
2024.02.26-12.23.03-Rec,freq_step_5st_3x,0,1500,24.9211,60.18995951222057,2234393,2732815
2024.02.26-12.23.03-Rec,freq_step_5st_3x,1,1500,24.90365,60.23213464692927,2732815,3230888
2024.02.26-12.23.03-Rec,freq_step_5st_3x,2,1500,24.9077,60.22234088253833,3230888,3729042
