dataset_id,direction,rep_idx,start_frame_rel,end_frame_rel,start_frame_abs,end_frame_abs,n_frames,duration_samples_approx,duration_s_approx,movie_start_frame
2024.02.26-14.21.41-Rec,180,2,11595,11635,22339,22379,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,225,0,2874,2914,13618,13658,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,225,1,7394,7434,18138,18178,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,225,2,11914,11954,22658,22698,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,270,0,3652,3692,14396,14436,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,270,1,8172,8212,18916,18956,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,270,2,12692,12732,23436,23476,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,315,0,4113,4153,14857,14897,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,315,1,8633,8673,19377,19417,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,315,2,13153,13193,23897,23937,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,45,0,1177,1217,11921,11961,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,45,1,5697,5737,16441,16481,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,45,2,10217,10257,20961,21001,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,90,0,1499,1539,12243,12283,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,90,1,6019,6059,16763,16803,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,90,2,10539,10579,21283,21323,40,13440,0.672,10744
2024.02.28-10.42.23-Rec,0,0,168,208,10912,10952,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,0,1,4688,4728,15432,15472,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,0,2,9208,9248,19952,19992,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,135,0,1791,1831,12535,12575,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,135,1,6311,6351,17055,17095,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,135,2,10831,10871,21575,21615,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,180,0,2673,2713,13417,13457,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,180,1,7193,7233,17937,17977,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,180,2,11713,11753,22457,22497,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,225,0,3233,3273,13977,14017,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,225,1,7753,7793,18497,18537,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,225,2,12273,12313,23017,23057,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,270,0,3794,3834,14538,14578,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,270,1,8314,8354,19058,19098,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,270,2,12834,12874,23578,23618,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,315,0,4460,4500,15204,15244,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,315,1,8980,9020,19724,19764,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,315,2,13500,13540,24244,24284,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,45,0,818,858,11562,11602,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,45,1,5338,5378,16082,16122,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,45,2,9858,9898,20602,20642,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,90,0,1357,1397,12101,12141,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,90,1,5877,5917,16621,16661,40,13698,0.6849,10744
2024.02.28-10.42.23-Rec,90,2,10397,10437,21141,21181,40,13698,0.6849,10744
2024.02.28-11.19.39-Rec,0,0,352,392,11096,11136,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,0,1,4872,4912,15616,15656,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,0,2,9392,9432,20136,20176,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,135,0,1915,1955,12659,12699,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,135,1,6435,6475,17179,17219,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,135,2,10955,10995,21699,21739,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,180,0,2599,2639,13343,13383,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,180,1,7119,7159,17863,17903,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,180,2,11639,11679,22383,22423,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,225,0,3379,3419,14123,14163,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,225,1,7899,7939,18643,18683,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,225,2,12419,12459,23163,23203,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,270,0,3700,3740,14444,14484,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,270,1,8220,8260,18964,19004,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,270,2,12740,12780,23484,23524,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,315,0,4336,4376,15080,15120,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,315,1,8856,8896,19600,19640,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,315,2,13376,13416,24120,24160,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,45,0,1112,1152,11856,11896,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,45,1,5632,5672,16376,16416,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,45,2,10152,10192,20896,20936,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,90,0,1451,1491,12195,12235,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,90,1,5971,6011,16715,16755,40,13697,0.68485,10744
2024.02.28-11.19.39-Rec,90,2,10491,10531,21235,21275,40,13697,0.68485,10744
2024.02.28-11.57.32-Rec,0,0,490,530,11234,11274,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,0,1,5010,5050,15754,15794,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,0,2,9530,9570,20274,20314,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,135,0,1921,1961,12665,12705,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,135,1,6441,6481,17185,17225,40,13807,0.69035,10744
